seed,size,mode,policy,ms,solverAttempts,observedReason,timeoutChecks,viableTemplates,validationErrors
"21","11","ar_to_en","approved-only","4496.6420830000425","294","solver_deadline_observed_root_cause_unestablished","60","24","[]"
"21","13","en_to_ar","approved-only","1805.7278330000117","2","solver_deadline_observed_root_cause_unestablished","59","6","[]"
"21","13","ar_to_en","compatibility","4515.6825839999365","24","solver_deadline_observed_root_cause_unestablished","120","24","[]"
"21","13","ar_to_en","approved-only","91.36945800005924","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"22","7","ar_to_en","approved-only","3002.1489170000423","24","solver_deadline_observed_root_cause_unestablished","127","24","[]"
"22","9","en_to_ar","approved-only","1702.3828329999233","2","solver_deadline_observed_root_cause_unestablished","32","6","[]"
"22","9","ar_to_en","approved-only","3991.122417000006","51","solver_deadline_observed_root_cause_unestablished","82","24","[]"
"22","11","en_to_ar","approved-only","1802.7726670000702","2","solver_deadline_observed_root_cause_unestablished","38","6","[]"
"22","11","ar_to_en","approved-only","4365.726040999987","285","solver_deadline_observed_root_cause_unestablished","47","24","[]"
"22","11","ar_to_en","compatibility","4501.88987500011","24","solver_deadline_observed_root_cause_unestablished","149","24","[]"
"22","13","en_to_ar","approved-only","1806.8252499999944","2","solver_deadline_observed_root_cause_unestablished","74","6","[]"
"22","13","ar_to_en","approved-only","91.56100000010338","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"22","13","ar_to_en","compatibility","4512.415083000087","24","solver_deadline_observed_root_cause_unestablished","143","24","[]"
"23","7","ar_to_en","approved-only","3002.4074170000385","24","solver_deadline_observed_root_cause_unestablished","96","24","[]"
"23","9","ar_to_en","approved-only","3991.0655829999596","63","solver_deadline_observed_root_cause_unestablished","96","24","[]"
"23","11","en_to_ar","approved-only","1804.0429170000134","2","solver_deadline_observed_root_cause_unestablished","58","6","[]"
"23","11","ar_to_en","compatibility","4502.627167000086","24","solver_deadline_observed_root_cause_unestablished","126","24","[]"
"23","11","ar_to_en","approved-only","4416.967249999987","279","solver_deadline_observed_root_cause_unestablished","66","24","[]"
"23","13","en_to_ar","approved-only","1805.7422080000397","2","solver_deadline_observed_root_cause_unestablished","67","6","[]"
"23","13","ar_to_en","compatibility","4514.191374999937","24","solver_deadline_observed_root_cause_unestablished","122","24","[]"
"23","13","ar_to_en","approved-only","93.8535410000477","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"24","7","ar_to_en","approved-only","3002.2976250000065","24","solver_deadline_observed_root_cause_unestablished","130","24","[]"
"24","9","ar_to_en","approved-only","3990.704458999913","46","solver_deadline_observed_root_cause_unestablished","95","24","[]"
"24","9","ar_to_en","compatibility","3992.5234159999527","24","solver_deadline_observed_root_cause_unestablished","131","24","[]"
"24","11","ar_to_en","approved-only","4384.740958999959","290","solver_deadline_observed_root_cause_unestablished","52","24","[]"
"24","11","ar_to_en","compatibility","4501.486540999962","24","solver_deadline_observed_root_cause_unestablished","161","24","[]"
"24","13","en_to_ar","approved-only","1805.8582079999615","2","solver_deadline_observed_root_cause_unestablished","30","6","[]"
"24","13","en_to_ar","compatibility","1806.4007499999134","2","solver_deadline_observed_root_cause_unestablished","53","6","[]"
"24","13","ar_to_en","approved-only","94.16587499994785","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"24","13","ar_to_en","compatibility","4512.79466600006","24","solver_deadline_observed_root_cause_unestablished","141","24","[]"
"25","7","ar_to_en","approved-only","3002.1518749999814","24","solver_deadline_observed_root_cause_unestablished","98","24","[]"
"25","9","ar_to_en","compatibility","3991.9298750000307","24","solver_deadline_observed_root_cause_unestablished","174","24","[]"
"25","9","ar_to_en","approved-only","3990.892666999949","62","solver_deadline_observed_root_cause_unestablished","101","24","[]"
"25","11","en_to_ar","approved-only","1803.7947910000803","2","solver_deadline_observed_root_cause_unestablished","32","6","[]"
"25","11","ar_to_en","compatibility","4501.788709000102","24","solver_deadline_observed_root_cause_unestablished","128","24","[]"
"25","11","ar_to_en","approved-only","4489.560958000016","285","solver_deadline_observed_root_cause_unestablished","53","24","[]"
"25","13","en_to_ar","compatibility","1806.4862089999951","2","solver_deadline_observed_root_cause_unestablished","92","6","[]"
"25","13","en_to_ar","approved-only","1805.8358749999898","2","solver_deadline_observed_root_cause_unestablished","65","6","[]"
"25","13","ar_to_en","compatibility","4514.7368750000605","25","solver_deadline_observed_root_cause_unestablished","145","24","[]"
"25","13","ar_to_en","approved-only","91.67629199998919","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"26","7","ar_to_en","approved-only","3002.2231250000186","24","solver_deadline_observed_root_cause_unestablished","128","24","[]"
"26","9","ar_to_en","approved-only","3992.6707079999615","53","solver_deadline_observed_root_cause_unestablished","81","24","[]"
"26","11","en_to_ar","approved-only","1804.376667000004","2","solver_deadline_observed_root_cause_unestablished","25","6","[]"
"26","11","ar_to_en","approved-only","4333.153833000106","303","solver_deadline_observed_root_cause_unestablished","57","24","[]"
"26","11","ar_to_en","compatibility","4502.2019169999985","24","solver_deadline_observed_root_cause_unestablished","149","24","[]"
"26","13","en_to_ar","approved-only","1806.40770900005","2","solver_deadline_observed_root_cause_unestablished","17","6","[]"
"26","13","ar_to_en","approved-only","89.73041600000579","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"26","13","ar_to_en","compatibility","4515.364833","24","solver_deadline_observed_root_cause_unestablished","151","24","[]"
"27","7","ar_to_en","approved-only","3002.549207999953","24","solver_deadline_observed_root_cause_unestablished","98","24","[]"
"27","9","ar_to_en","approved-only","3991.244624999934","58","solver_deadline_observed_root_cause_unestablished","80","24","[]"
"27","11","en_to_ar","approved-only","1804.125166999991","2","solver_deadline_observed_root_cause_unestablished","63","6","[]"
"27","11","ar_to_en","compatibility","4503.376540999976","24","solver_deadline_observed_root_cause_unestablished","147","24","[]"
"27","11","ar_to_en","approved-only","4424.131041000015","280","solver_deadline_observed_root_cause_unestablished","59","24","[]"
"27","13","en_to_ar","approved-only","1807.4618329999503","2","solver_deadline_observed_root_cause_unestablished","57","6","[]"
"27","13","ar_to_en","compatibility","4512.4096250000875","24","solver_deadline_observed_root_cause_unestablished","164","24","[]"
"27","13","ar_to_en","approved-only","91.63983300002292","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"28","7","ar_to_en","approved-only","3002.4321250000503","24","solver_deadline_observed_root_cause_unestablished","132","24","[]"
